MaterialID,MaterialName,MaterialCategory,UnitOfMeasure,UnitCost,SupplierID,LeadTimeDays,MinOrderQty,CurrentStock,ReorderPoint,SupplierName,LeadTimeAvg,Stockout_Risk
MAT-0001,Steel Sheet 4mm,Steel,Sheet,45,SUP-010,7,100,372,254,SealMaster Corp,5,False
MAT-0002,Steel Sheet 6mm,Steel,Sheet,55,SUP-006,5,10,807,208,SteelMax Industries,18,False
MAT-0003,Steel Rod 10mm,Steel,Meter,12,SUP-001,7,50,688,492,MetalPro Supplies,7,False
MAT-0004,Steel Rod 20mm,Steel,Meter,18,SUP-003,11,500,1527,170,ChemCoat Solutions,14,False
MAT-0005,Aluminum Plate 5mm,Aluminum,Sheet,85,SUP-005,21,50,714,491,ElectroParts Ltd,5,False
MAT-0006,Aluminum Bar 15mm,Aluminum,Meter,25,SUP-001,20,50,1640,230,MetalPro Supplies,7,False
MAT-0007,Copper Wire 2mm,Copper,Meter,8,SUP-003,13,10,1978,248,ChemCoat Solutions,14,False
MAT-0008,Copper Sheet 3mm,Copper,Sheet,95,SUP-012,15,500,1212,267,WireWorks Inc,28,False
MAT-0009,Brass Rod 8mm,Brass,Meter,15,SUP-007,19,500,1271,161,RubberTech Co,14,False
MAT-0010,Bronze Bushing,Bronze,Piece,22,SUP-009,12,25,223,103,ComposiTech Materials,21,False
MAT-0011,Stainless Steel 316,Steel,Kg,120,SUP-002,17,25,1859,354,FastenerWorld Inc,21,False
MAT-0012,Carbon Steel,Steel,Kg,35,SUP-012,19,100,157,482,WireWorks Inc,28,True
MAT-0013,Cast Iron Block,Iron,Kg,28,SUP-002,16,25,368,320,FastenerWorld Inc,21,False
MAT-0014,Titanium Sheet,Titanium,Sheet,450,SUP-008,6,10,372,189,PrecisionCast Inc,7,False
MAT-0015,Nickel Alloy,Nickel,Kg,280,SUP-008,6,50,1595,166,PrecisionCast Inc,7,False
MAT-0016,Zinc Coating,Coating,Liter,45,SUP-013,20,500,1315,294,CoatingPro Solutions,10,False
MAT-0017,Rubber Seal,Rubber,Piece,3,SUP-006,9,50,151,372,SteelMax Industries,18,True
MAT-0018,Silicon Gasket,Silicon,Piece,5,SUP-009,16,10,1430,460,ComposiTech Materials,21,False
MAT-0019,Nylon Washer,Plastic,Piece,1,SUP-010,17,50,217,217,SealMaster Corp,5,False
